"","x"
"466","slightly agree"
"467","slightly disagree"
"468","strongly agree"
"469","strongly disagree"
"470","agree"
"471","slightly disagree"
"472","strongly disagree"
"473","slightly agree"
"474","strongly agree"
"475","slightly agree"
"476","disagree"
"477","disagree"
"478","slightly agree"
"479","strongly agree"
"480","agree"
"481","neutral"
"482","slightly agree"
"483","strongly disagree"
"484","disagree"
"485","agree"
"486","strongly agree"
"487","slightly agree"
"488","strongly agree"
"489","neutral"
"490","agree"
"491","slightly disagree"
"492","strongly disagree"
"493","slightly agree"
"494","neutral"
"495","neutral"
"496","slightly agree"
"497","agree"
"498","strongly agree"
"499","strongly agree"
"500","agree"
"501","disagree"
"502","agree"
"503","slightly agree"
"504","neutral"
"505","slightly disagree"
"506","strongly disagree"
"507","strongly disagree"
"508","disagree"
"509","slightly agree"
"510","slightly agree"
"511","disagree"
"512","slightly agree"
"513","strongly agree"
"514","strongly agree"
"515","neutral"
"516","agree"
"517","neutral"
"518","strongly agree"
"519","slightly agree"
"520","strongly disagree"
"521","slightly agree"
"522","agree"
"523","strongly agree"
"524","strongly disagree"
"525","strongly agree"
"526","slightly disagree"
"527","agree"
"528","strongly disagree"
"529","slightly agree"
"530","disagree"
"531","strongly agree"
"532","slightly disagree"
"533","strongly agree"
"534","slightly agree"
"535","strongly agree"
"536","slightly agree"
"537","strongly agree"
"538","strongly disagree"
"539","slightly agree"
"540","neutral"
"541","slightly disagree"
"542","disagree"
"543","neutral"
"544","slightly agree"
"545","strongly agree"
"546","strongly agree"
"547","slightly disagree"
"548","disagree"
"549","strongly disagree"
"550","agree"
"551","strongly disagree"
"552","neutral"
"553","strongly agree"
"554","agree"
"555","strongly disagree"
"556","strongly disagree"
"557","slightly agree"
"558","agree"
"559","strongly agree"
"560","agree"
"561","slightly agree"
"562","disagree"
"563","agree"
"564","disagree"
"565","disagree"
"566","slightly agree"
"567","slightly agree"
"568","disagree"
"569","disagree"
"570","slightly agree"
"571","slightly disagree"
"572","agree"
"573","agree"
"574","slightly agree"
"575","neutral"
"576","agree"
"577","slightly disagree"
"578","agree"
"579","slightly disagree"
"580","neutral"
"581","disagree"
"582","strongly disagree"
"583","slightly agree"
"584","agree"
"585","slightly agree"
"586","slightly disagree"
"587","neutral"
"588","agree"
"589","slightly agree"
"590","agree"
"591","agree"
"592","disagree"
"593","disagree"
"594","agree"
"595","slightly disagree"
"596","slightly disagree"
"597","strongly disagree"
"598","strongly agree"
"599","disagree"
"600","slightly disagree"
"601","slightly agree"
"602","strongly agree"
"603","agree"
"604","slightly disagree"
"605","neutral"
"606","strongly agree"
"607","slightly agree"
"608","strongly agree"
"609","neutral"
"610","agree"
"611","strongly disagree"
"612","strongly disagree"
"613","agree"
"614","strongly disagree"
"615","slightly disagree"
"616","neutral"
"617","strongly agree"
"618","slightly agree"
"619","strongly disagree"
"620","agree"
"621","strongly disagree"
"622","agree"
"623","strongly agree"
"624","agree"
"625","strongly agree"
"626","strongly agree"
"627","strongly agree"
"628","slightly agree"
"629","agree"
"630","strongly disagree"
"631","agree"
"632","slightly agree"
"633","strongly disagree"
"634","agree"
"635","disagree"
"636","disagree"
"637","agree"
"638","slightly agree"
"639","slightly agree"
"640","slightly disagree"
"641","strongly agree"
"642","strongly agree"
"643","slightly agree"
"644","strongly agree"
"645","disagree"
"646","disagree"
"647","slightly agree"
"648","disagree"
"649","neutral"
"650","agree"
"651","neutral"
"652","slightly disagree"
"653","strongly agree"
"654","strongly disagree"
"655","strongly agree"
"656","disagree"
"657","slightly agree"
"658","agree"
"659","slightly disagree"
"660","neutral"
"661","slightly agree"
"662","disagree"
"663","slightly disagree"
"664","disagree"
"665","slightly agree"
"666","slightly disagree"
"667","agree"
"668","neutral"
"669","agree"
"670","strongly agree"
"671","slightly agree"
"672","agree"
"673","slightly disagree"
"674","slightly agree"
"675","agree"
"676","neutral"
"677","agree"
"678","strongly agree"
"679","slightly agree"
"680","disagree"
"681","disagree"
"682","strongly agree"
"683","agree"
"684","agree"
"685","strongly disagree"
"686","strongly agree"
"687","neutral"
"688","agree"
"689","slightly agree"
"690","slightly disagree"
"691","slightly agree"
"692","neutral"
"693","slightly agree"
"694","strongly agree"
"695","strongly disagree"
"696","disagree"
"697","neutral"
"698","strongly disagree"
"699","strongly agree"
"700","strongly disagree"
"701","slightly agree"
"702","agree"
"703","slightly agree"
"704","strongly agree"
"705","slightly agree"
"706","strongly disagree"
"707","strongly agree"
"708","neutral"
"709","disagree"
"710","disagree"
"711","strongly disagree"
"712","neutral"
"713","agree"
"714","disagree"
"715","neutral"
"716","disagree"
"717","disagree"
"718","strongly agree"
"719","strongly disagree"
"720","neutral"
"721","neutral"
"722","strongly disagree"
"723","slightly agree"
"724","slightly agree"
"725","strongly agree"
"726","slightly agree"
